School,Mascot,Arena,Hex,Hex2,Lat,Lon,Furthest_Round,Capacity,Avg_Attendance
New Haven,,Jeffery P. Hazell Athletics Center,#041e42,#ffc425,41.2909,-72.9626,362,5000,584
UC Irvine,Anteaters,Bren Events Center,#002B5C,#fec52e,33.6495,-117.8469,362,4984,2212
Samford,Bulldogs,Pete Hanna Center,#005485,#bc0023,33.4638,-86.7972,362,4974,1474
Portland,Pilots,Chiles Center,#330072,#a8b3ba,45.5751,-122.7285,362,4852,1337
Southern Indiana,Screaming Eagles,"Liberty Arena, Home of the Screaming Eagles",#85283D,#c2c3c0,37.9585,-87.6742,362,4800,1263
Utah Tech,Trailblazers,Burns Arena,#000000,##000000,37.1015,-113.567,362,4779,2016
Bowling Green,Falcons,Stroh Center,#fd5000,#4f2c1d,41.3753,-83.6263,362,4700,2291
Florida Gulf Coast,Eagles,Alico Arena,#00885a,#076c3b,26.4636,-81.7747,362,4633,1684
Kennesaw State,Owls,KSU Convocation Center,#fdbb30,#0b1315,34.0383,-84.5831,362,4600,1760
Albany,Great Danes,Broadview Center,#3D2777,#ffffff,42.6822,-73.8283,362,4538,1990
American,Eagles,Bender Arena,#c41130,#c8102e,38.9377,-77.0899,362,4500,1078
Norfolk State,Spartans,Joseph G. Echols Memorial Hall,#0c8968,#fdb813,36.848,-76.2582,362,4500,2203
High Point,Panthers,Nido & Mariana Qubein Arena and Conference Center,#330072,#ffffff,35.9721,-79.9937,362,4500,3946
Arkansas-Pine Bluff,Razorbacks,K. L. Johnson Complex,#e0aa0f,#eaaa00,34.2511,-92.0289,362,4500,1742
Santa Clara,Broncos,Leavey Center,#690b0b,#101010,37.3492,-121.9352,362,4500,1837
Loyola Chicago,Ramblers,Joseph J. Gentile Arena,#9d1244,##9d1244,41.9991,-87.6573,362,4486,2628
Cornell,Big Red,Newman Arena,#b31b1b,#ffffff,42.4529,-76.4801,362,4473,1242
Tennessee-Martin,Volunteers,Kathleen and Tom Elam Center,#FF6700,#102a5c,36.3415,-88.8642,362,4300,1570
Morgan State,Bears,Talmadge L. Hill Field House,#014786,#f47937,39.3447,-76.5836,362,4250,1259
